docId,docLabel,docTitle,docType,href,publicationDate,publisher,status.active,authors,status.stabilized,status.superseded,status.supersededBy,status.amended,status.amendedBy,group,keywords,references.normative,status.draft,status.unknown,details,status.withdrawn,status.supersededDate,status.statusNote,repo,doi,relatedDocs,workInfo.review,status.reaffirmDate,status.reaffirmed,docNumber,references.bibliographic,docPart,status.withdrawnDate,workInfo.project,status.publicCd,docElement,status.amendedDate,status.stabilizedDate,xmlNamespace
iso14496-10-2020,ISO/IEC 14496-10:2020,Information technology — Coding of audio-visual objects — Part 10: Advanced Video Coding,Standard,https://www.iso.org/standard/75400.html,2020-12-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,true,"[""iso14496-10-2020-cd-amd1""]",undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-10-2020-cd-amd1,ISO/IEC 14496-10:2020/CD AMD 1,Information technology — Coding of audio-visual objects — Part 10: Advanced video coding — Amendment 1: Additional SEI messages,Standard,https://www.iso.org/standard/82534.html,undefined,ISO/IEC,false,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,false,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004,ISO/IEC 14496-2:2004,Information technology — Coding of audio-visual objects — Part 2: Visual,Standard,https://www.iso.org/standard/39259.html,2004-06-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,true,"[""iso14496-2-2004-amd1-2004"",""iso14496-2-2004-cor1-2004"",""iso14496-2-2004-amd2-2005"",""iso14496-2-2004-cor2-2007"",""iso14496-2-2004-amd3-2007"",""iso14496-2-2004-cor3-2008"",""iso14496-2-2004-amd4-2008"",""iso14496-2-2004-cor4-2010"",""iso14496-2-2004-amd5-2009"",""iso14496-2-2004-cor5-2013""]",undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-amd1-2004,ISO/IEC 14496-2:2004/AMD 1:2004,Information technology — Coding of audio-visual objects — Part 2: Visual — Amendment 1: Error resilient simple scalable profile,Standard,https://www.iso.org/standard/39365.html,2004-06-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-amd2-2005,ISO/IEC 14496-2:2004/AMD 2:2005,Information technology — Coding of audio-visual objects — Part 2: Visual — Amendment 2: New Levels for Simple Profile,Standard,https://www.iso.org/standard/41483.html,2005-10-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-amd3-2007,ISO/IEC 14496-2:2004/AMD 3:2007,Information technology — Coding of audio-visual objects — Part 2: Visual — Amendment 3: Support for colour spaces,Standard,https://www.iso.org/standard/43658.html,2007-07-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-amd4-2008,ISO/IEC 14496-2:2004/AMD 4:2008,Information technology — Coding of audio-visual objects — Part 2: Visual — Amendment 4: Simple profile level 6,Standard,https://www.iso.org/standard/46285.html,2008-05-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-amd5-2009,ISO/IEC 14496-2:2004/AMD 5:2009,Information technology — Coding of audio-visual objects — Part 2: Visual — Amendment 5: Simple studio profile levels 5 and 6,Standard,https://www.iso.org/standard/51748.html,2009-06-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-cor1-2004,ISO/IEC 14496-2:2004/COR 1:2004,Information technology — Coding of audio-visual objects — Part 2: Visual — Technical Corrigendum 1,Standard,https://www.iso.org/standard/40742.html,2004-06-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-cor2-2007,ISO/IEC 14496-2:2004/COR 2:2007,Information technology — Coding of audio-visual objects — Part 2: Visual — Technical Corrigendum 2,Standard,https://www.iso.org/standard/43970.html,2007-12-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-cor3-2008,ISO/IEC 14496-2:2004/COR 3:2008,Information technology — Coding of audio-visual objects — Part 2: Visual — Technical Corrigendum 3: .,Standard,https://www.iso.org/standard/50995.html,2008-11-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-cor4-2010,ISO/IEC 14496-2:2004/COR 4:2010,Information technology — Coding of audio-visual objects — Part 2: Visual — Technical Corrigendum 4,Standard,https://www.iso.org/standard/55899.html,2010-09-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-2-2004-cor5-2013,ISO/IEC 14496-2:2004/COR 5:2013,Information technology — Coding of audio-visual objects — Part 2: Visual — Technical Corrigendum 5,Standard,https://www.iso.org/standard/63524.html,2013-11-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-22-2009,ISO 14496-22:2009,Information technology — Coding of audio-visual objects — Part 22: Open Font Format,Standard,https://www.iso.org/standard/52136.html,2009-08-01T07:00:00.000Z,ISO/IEC,false,undefined,undefined,true,"[""iso14496-22-2019""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,true,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso14496-22-2019,ISO 14496-22:2019,Information technology — Coding of audio-visual objects — Part 22: Open Font Format,Standard,https://www.iso.org/standard/74461.html,2019-01-01T07:00:00.000Z,ISO/IEC,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso15076-1-2005,ISO 15076-1:2005,"Image technology colour management — Architecture, profile format and data structure — Part 1: Based on ICC.1:2004-10",Standard,https://www.iso.org/standard/40317.html,2005-12-01T07:00:00.000Z,ISO,false,undefined,undefined,true,"[""iso15076-1-2010""]",undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,true,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso15076-1-2010,ISO 15076-1:2010,"Image technology colour management — Architecture, profile format and data structure — Part 1: Based on ICC.1:2010",Standard,https://www.iso.org/standard/54754.html,2010-12-01T07:00:00.000Z,ISO,true,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
iso15444-1-2004,ISO 15444-1:2004(en),Information technology — JPEG 2000 image coding system: Core coding system,Standard,https://www.iso.org/standard/37674.html,2004-09-15T07:00:00.000Z,ISO/IEC,false,undefined,undefined,true,"[""iso15444-1-2016""]",true,"[""iso15444-1-2004-amd1-2006"",""iso15444-1-2004-cor1-2007"",""iso15444-1-2004-amd2-2009"",""iso15444-1-2004-cor2-2008"",""iso15444-1-2004-amd3-2010"",""iso15444-1-2004-cor3-2015"",""iso15444-1-2004-amd4-2013"",""iso15444-1-2004-cor4-2015"",""iso15444-1-2004-amd5-2013"",""iso15444-1-2004-amd6-2013"",""iso15444-1-2004-amd7-2015"",""iso15444-1-2004-amd8-2015""]",undefined,"[""DCinema"",""JPEG2000""]",null,undefined,undefined,"Amended, Superseded",undefined,undefined,undefined,undefined,undefined,undefined,null,undefined,undefined,undefined,null,undefined,undefined,null,undefined,undefined,undefined,undefined,undefined
